,path,functions,complexity,comment_lines_density,duplicated_lines_density,coverage,ncloc,security_rating,tests,test_success_density,test_execution_time,reliability_rating,filename,repository,version
764,src/services/contentServices/contentDialetoService.js,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
765,src/services/contentServices/contentEthnicityService.js,2,2,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
766,src/services/contentServices/contentIdiomaService.js,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
767,src/services/contentServices/contentLanguageService.js,3,3,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
768,src/services/contentServices/contentLocationService.js,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
769,src/services/contentServices/contentTrunkService.js,2,2,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
770,src/helpers/context-provider.js,1,2,0.0,0.0,,17,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
771,src/pages/SignUpLanguage/styles/customStylesSelect.js,3,3,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
772,src/context/ethnicityContext.js,4,4,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
773,src/pages/SignUpLanguage/ethnicityLanguage.js,4,4,0.0,0.0,,50,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
774,src/utils/fuseSearch.js,2,3,0.0,0.0,,13,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
775,src/index.js,0,0,0.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
776,src/pages/index.js,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
777,src/pages/Login/index.js,4,6,0.0,0.0,,62,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
778,src/pages/Home/index.js,1,1,0.0,0.0,,5,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-11-04-00.35.json,Admin,2021-11-04-00.35
